<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2012.10.24	1.59510	1.60475	1.59352	1.60360	60415	0	10
2012.10.25	1.60361	1.61427	1.60254	1.61186	54874	0	10
2012.10.26	1.61188	1.61401	1.60798	1.61027	51913	0	6
2012.10.29	1.60845	1.60920	1.60058	1.60321	34431	0	3
2012.10.30	1.60319	1.60848	1.60196	1.60830	34456	0	3
2012.10.31	1.60828	1.61382	1.60675	1.61314	47240	0	4
2012.11.01	1.61311	1.61743	1.61195	1.61306	49527	0	10
2012.11.02	1.61306	1.61324	1.60072	1.60208	47554	0	4
2012.11.05	1.60196	1.60387	1.59569	1.59786	47178	0	4
2012.11.06	1.59786	1.60070	1.59645	1.59928	52767	0	4
2012.11.07	1.59927	1.60419	1.59542	1.59810	67801	0	10
2012.11.08	1.59813	1.60037	1.59286	1.59784	58737	0	10
2012.11.09	1.59789	1.60186	1.58873	1.58938	58926	0	10
2012.11.12	1.59026	1.59147	1.58630	1.58762	45538	0	10
2012.11.13	1.58764	1.59149	1.58578	1.58705	56482	0	9
2012.11.14	1.58706	1.59007	1.58378	1.58410	57224	0	10
2012.11.15	1.58411	1.58784	1.58274	1.58607	54704	0	10
2012.11.16	1.58607	1.59005	1.58351	1.58792	51855	0	10
2012.11.19	1.58898	1.59223	1.58866	1.59054	49333	0	10
2012.11.20	1.59052	1.59354	1.58909	1.59252	50103	0	10
2012.11.21	1.59250	1.59563	1.58827	1.59546	52142	0	10
2012.11.22	1.59547	1.59779	1.59183	1.59385	51001	0	10
2012.11.23	1.59389	1.60504	1.59260	1.60252	48178	0	10
2012.11.26	1.60235	1.60371	1.59960	1.60322	50798	0	8
2012.11.27	1.60319	1.60551	1.60087	1.60155	56580	0	4
2012.11.28	1.60153	1.60221	1.59618	1.60124	57214	0	9
2012.11.29	1.60125	1.60476	1.60015	1.60414	53819	0	6
2012.11.30	1.60412	1.60617	1.59885	1.60107	56036	0	10
2012.12.03	1.60221	1.61152	1.60198	1.60945	52654	0	4
2012.12.04	1.60944	1.61303	1.60859	1.60999	53379	0	4
2012.12.05	1.60998	1.61176	1.60823	1.60914	49718	0	6
2012.12.06	1.60915	1.61272	1.60354	1.60415	56703	0	4
